0.00, 0.000,
3.91, 0.002,
7.81, 0.010,
11.72, 0.021,
15.62, 0.038,
19.53, 0.059,
23.44, 0.086,
27.34, 0.116,
31.25, 0.151,
35.16, 0.190,
39.06, 0.232,
42.97, 0.277,
46.88, 0.325,
50.78, 0.374,
54.69, 0.423,
58.59, 0.473,
62.50, 0.521,
66.41, 0.567,
70.31, 0.611,
74.22, 0.652,
78.12, 0.690,
82.03, 0.725,
85.94, 0.756,
89.84, 0.784,
93.75, 0.808,
97.66, 0.830,
101.56, 0.850,
105.47, 0.867,
109.37, 0.882,
113.28, 0.895,
117.19, 0.906,
121.09, 0.917,
125.00, 0.925,
128.91, 0.933,
132.81, 0.940,
136.72, 0.946,
140.62, 0.951,
144.53, 0.956,
148.44, 0.960,
152.34, 0.964,
156.25, 0.967,
160.16, 0.970,
164.06, 0.973,
167.97, 0.975,
171.87, 0.977,
175.78, 0.979,
179.69, 0.981,
183.59, 0.982,
187.50, 0.984,
191.41, 0.985,
195.31, 0.986,
199.22, 0.987,
203.12, 0.988,
207.03, 0.989,
210.94, 0.990,
214.84, 0.991,
218.75, 0.991,
222.66, 0.992,
226.56, 0.992,
230.47, 0.993,
234.37, 0.993,
238.28, 0.994,
242.19, 0.994,
246.09, 0.994,
250.00, 0.995,
253.91, 0.995,
257.81, 0.995,
261.72, 0.996,
265.62, 0.996,
269.53, 0.996,
273.44, 0.996,
277.34, 0.997,
281.25, 0.997,
285.16, 0.997,
289.06, 0.997,
292.97, 0.997,
296.87, 0.997,
300.78, 0.997,
304.69, 0.998,
308.59, 0.998,
312.50, 0.998,
316.41, 0.998,
320.31, 0.998,
324.22, 0.998,
328.12, 0.998,
332.03, 0.998,
335.94, 0.998,
339.84, 0.998,
343.75, 0.998,
347.66, 0.998,
351.56, 0.998,
355.47, 0.998,
359.37, 0.998,
363.28, 0.998,
367.19, 0.998,
371.09, 0.998,
375.00, 0.997,
378.91, 0.997,
382.81, 0.997,
386.72, 0.996,
390.62, 0.996,
394.53, 0.995,
398.44, 0.994,
402.34, 0.993,
406.25, 0.991,
410.16, 0.990,
414.06, 0.988,
417.97, 0.986,
421.87, 0.983,
425.78, 0.980,
429.69, 0.976,
433.59, 0.972,
437.50, 0.967,
441.41, 0.961,
445.31, 0.954,
449.22, 0.946,
453.12, 0.936,
457.03, 0.926,
460.94, 0.914,
464.84, 0.900,
468.75, 0.885,
472.66, 0.868,
476.56, 0.850,
480.47, 0.830,
484.37, 0.808,
488.28, 0.785,
492.19, 0.760,
496.09, 0.734,
500.00, 0.707,
503.91, 0.679,
507.81, 0.650,
511.72, 0.621,
515.62, 0.592,
519.53, 0.563,
523.44, 0.534,
527.34, 0.506,
531.25, 0.479,
535.16, 0.452,
539.06, 0.426,
542.97, 0.401,
546.87, 0.378,
550.78, 0.355,
554.69, 0.334,
558.59, 0.313,
562.50, 0.294,
566.41, 0.276,
570.31, 0.259,
574.22, 0.243,
578.12, 0.228,
582.03, 0.214,
585.94, 0.201,
589.84, 0.188,
593.75, 0.176,
597.66, 0.166,
601.56, 0.155,
605.47, 0.146,
609.37, 0.137,
613.28, 0.129,
617.19, 0.121,
621.09, 0.114,
625.00, 0.107,
628.91, 0.100,
632.81, 0.094,
636.72, 0.089,
640.62, 0.084,
644.53, 0.079,
648.44, 0.074,
652.34, 0.070,
656.25, 0.066,
660.16, 0.062,
664.06, 0.058,
667.97, 0.055,
671.87, 0.052,
675.78, 0.049,
679.69, 0.046,
683.59, 0.044,
687.50, 0.041,
691.41, 0.039,
695.31, 0.037,
699.22, 0.035,
703.12, 0.033,
707.03, 0.031,
710.94, 0.030,
714.84, 0.028,
718.75, 0.027,
722.66, 0.025,
726.56, 0.024,
730.47, 0.023,
734.37, 0.021,
738.28, 0.020,
742.19, 0.019,
746.09, 0.018,
750.00, 0.017,
753.91, 0.016,
757.81, 0.016,
761.72, 0.015,
765.62, 0.014,
769.53, 0.013,
773.44, 0.013,
777.34, 0.012,
781.25, 0.012,
785.16, 0.011,
789.06, 0.010,
792.97, 0.010,
796.87, 0.009,
800.78, 0.009,
804.69, 0.009,
808.59, 0.008,
812.50, 0.008,
816.41, 0.007,
820.31, 0.007,
824.22, 0.007,
828.12, 0.006,
832.03, 0.006,
835.94, 0.006,
839.84, 0.006,
843.75, 0.005,
847.66, 0.005,
851.56, 0.005,
855.47, 0.005,
859.37, 0.004,
863.28, 0.004,
867.19, 0.004,
871.09, 0.004,
875.00, 0.004,
878.91, 0.004,
882.81, 0.003,
886.72, 0.003,
890.62, 0.003,
894.53, 0.003,
898.44, 0.003,
902.34, 0.003,
906.25, 0.003,
910.16, 0.003,
914.06, 0.002,
917.97, 0.002,
921.87, 0.002,
925.78, 0.002,
929.69, 0.002,
933.59, 0.002,
937.50, 0.002,
941.41, 0.002,
945.31, 0.002,
949.22, 0.002,
953.12, 0.002,
957.03, 0.002,
960.94, 0.001,
964.84, 0.001,
968.75, 0.001,
972.66, 0.001,
976.56, 0.001,
980.47, 0.001,
984.37, 0.001,
988.28, 0.001,
992.19, 0.001,
996.09, 0.001,
1000.00, 0.001,
